stt,age,inc,eth,sex,edu,pop2008
AL,18-29,$40-75k,Hispanic,Male,Post-Grad,13
AL,18-29,$40-75k,Hispanic,Female,< HS,273
AL,18-29,$40-75k,Hispanic,Female,HS,725
AL,18-29,$40-75k,Hispanic,Female,Some Coll,657
AL,18-29,$40-75k,Hispanic,Female,Coll,73
AL,18-29,$40-75k,Hispanic,Female,Post-Grad,47
AL,18-29,$40-75k,Other,Male,< HS,230
AL,18-29,$40-75k,Other,Male,HS,551
AL,18-29,$40-75k,Other,Male,Some Coll,901
AL,18-29,$40-75k,Other,Male,Coll,124
AL,18-29,$40-75k,Other,Male,Post-Grad,122
AL,18-29,$40-75k,Other,Female,< HS,215
AL,18-29,$40-75k,Other,Female,HS,593
AL,18-29,$40-75k,Other,Female,Some Coll,603
AL,18-29,$40-75k,Other,Female,Coll,217
AL,18-29,$40-75k,Other,Female,Post-Grad,34
AL,18-29,$75-150k,White,Male,< HS,5722
AL,18-29,$75-150k,White,Male,HS,16017
AL,18-29,$75-150k,White,Male,Some Coll,19100
AL,18-29,$75-150k,White,Male,Coll,6829
AL,18-29,$75-150k,White,Male,Post-Grad,1660
AL,18-29,$75-150k,White,Female,< HS,3765
AL,18-29,$75-150k,White,Female,HS,9405
AL,18-29,$75-150k,White,Female,Some Coll,17567
AL,18-29,$75-150k,White,Female,Coll,8905
AL,18-29,$75-150k,White,Female,Post-Grad,2949
AL,18-29,$75-150k,Black,Male,< HS,1349
AL,18-29,$75-150k,Black,Male,HS,4788
AL,18-29,$75-150k,Black,Male,Some Coll,4090
AL,18-29,$75-150k,Black,Male,Coll,1468
AL,18-29,$75-150k,Black,Male,Post-Grad,139
AL,18-29,$75-150k,Black,Female,< HS,924
AL,18-29,$75-150k,Black,Female,HS,2900
AL,18-29,$75-150k,Black,Female,Some Coll,4177
AL,18-29,$75-150k,Black,Female,Coll,2253
AL,18-29,$75-150k,Black,Female,Post-Grad,409
AL,18-29,$75-150k,Hispanic,Male,< HS,92
AL,18-29,$75-150k,Hispanic,Male,HS,116
AL,18-29,$75-150k,Hispanic,Male,Some Coll,340
AL,18-29,$75-150k,Hispanic,Male,Coll,115
AL,18-29,$75-150k,Hispanic,Male,Post-Grad,0
AL,18-29,$75-150k,Hispanic,Female,< HS,16
AL,18-29,$75-150k,Hispanic,Female,HS,112
AL,18-29,$75-150k,Hispanic,Female,Some Coll,269
AL,18-29,$75-150k,Hispanic,Female,Coll,202
AL,18-29,$75-150k,Hispanic,Female,Post-Grad,0
AL,18-29,$75-150k,Other,Male,< HS,108
AL,18-29,$75-150k,Other,Male,HS,615
AL,18-29,$75-150k,Other,Male,Some Coll,563
AL,18-29,$75-150k,Other,Male,Coll,164
AL,18-29,$75-150k,Other,Male,Post-Grad,60
AL,18-29,$75-150k,Other,Female,< HS,187
AL,18-29,$75-150k,Other,Female,HS,333
AL,18-29,$75-150k,Other,Female,Some Coll,587
AL,18-29,$75-150k,Other,Female,Coll,120
AL,18-29,$75-150k,Other,Female,Post-Grad,101
AL,18-29,$150k+,White,Male,< HS,1265
AL,18-29,$150k+,White,Male,HS,3247
AL,18-29,$150k+,White,Male,Some Coll,4996
AL,18-29,$150k+,White,Male,Coll,2002
AL,18-29,$150k+,White,Male,Post-Grad,411
AL,18-29,$150k+,White,Female,< HS,598
AL,18-29,$150k+,White,Female,HS,1967
AL,18-29,$150k+,White,Female,Some Coll,4164
AL,18-29,$150k+,White,Female,Coll,2333
AL,18-29,$150k+,White,Female,Post-Grad,469
AL,18-29,$150k+,Black,Male,< HS,148
AL,18-29,$150k+,Black,Male,HS,171
AL,18-29,$150k+,Black,Male,Some Coll,315
AL,18-29,$150k+,Black,Male,Coll,186
AL,18-29,$150k+,Black,Male,Post-Grad,52
AL,18-29,$150k+,Black,Female,< HS,30
AL,18-29,$150k+,Black,Female,HS,185
AL,18-29,$150k+,Black,Female,Some Coll,231
AL,18-29,$150k+,Black,Female,Coll,267
AL,18-29,$150k+,Black,Female,Post-Grad,96
AL,18-29,$150k+,Hispanic,Male,< HS,186
AL,18-29,$150k+,Hispanic,Male,HS,0
AL,18-29,$150k+,Hispanic,Male,Some Coll,77
AL,18-29,$150k+,Hispanic,Male,Coll,0
AL,18-29,$150k+,Hispanic,Male,Post-Grad,0
AL,18-29,$150k+,Hispanic,Female,< HS,0
AL,18-29,$150k+,Hispanic,Female,HS,0
AL,18-29,$150k+,Hispanic,Female,Some Coll,106
AL,18-29,$150k+,Hispanic,Female,Coll,0
AL,18-29,$150k+,Hispanic,Female,Post-Grad,0
AL,18-29,$150k+,Other,Male,< HS,30
AL,18-29,$150k+,Other,Male,HS,16
AL,18-29,$150k+,Other,Male,Some Coll,81
AL,18-29,$150k+,Other,Male,Coll,172
AL,18-29,$150k+,Other,Male,Post-Grad,0
AL,18-29,$150k+,Other,Female,< HS,49
AL,18-29,$150k+,Other,Female,HS,39
AL,18-29,$150k+,Other,Female,Some Coll,41
AL,18-29,$150k+,Other,Female,Coll,25
AL,18-29,$150k+,Other,Female,Post-Grad,0
AL,30-44,$0-20k,White,Male,< HS,10649
AL,30-44,$0-20k,White,Male,HS,9941
AL,30-44,$0-20k,White,Male,Some Coll,5584
AL,30-44,$0-20k,White,Male,Coll,1060
AL,30-44,$0-20k,White,Male,Post-Grad,319
AL,30-44,$0-20k,White,Female,< HS,9144
AL,30-44,$0-20k,White,Female,HS,12455
AL,30-44,$0-20k,White,Female,Some Coll,10733
AL,30-44,$0-20k,White,Female,Coll,1743
AL,30-44,$0-20k,White,Female,Post-Grad,645
AL,30-44,$0-20k,Black,Male,< HS,5511
AL,30-44,$0-20k,Black,Male,HS,8060
AL,30-44,$0-20k,Black,Male,Some Coll,3120
AL,30-44,$0-20k,Black,Male,Coll,511
AL,30-44,$0-20k,Black,Male,Post-Grad,118
AL,30-44,$0-20k,Black,Female,< HS,10857
AL,30-44,$0-20k,Black,Female,HS,16683
AL,30-44,$0-20k,Black,Female,Some Coll,10523
AL,30-44,$0-20k,Black,Female,Coll,984
AL,30-44,$0-20k,Black,Female,Post-Grad,233
AL,30-44,$0-20k,Hispanic,Male,< HS,533
AL,30-44,$0-20k,Hispanic,Male,HS,321
AL,30-44,$0-20k,Hispanic,Male,Some Coll,0
AL,30-44,$0-20k,Hispanic,Male,Coll,186
AL,30-44,$0-20k,Hispanic,Male,Post-Grad,0
AL,30-44,$0-20k,Hispanic,Female,< HS,199
AL,30-44,$0-20k,Hispanic,Female,HS,15
AL,30-44,$0-20k,Hispanic,Female,Some Coll,87
AL,30-44,$0-20k,Hispanic,Female,Coll,9
AL,30-44,$0-20k,Hispanic,Female,Post-Grad,20
AL,30-44,$0-20k,Other,Male,< HS,346
AL,30-44,$0-20k,Other,Male,HS,375
AL,30-44,$0-20k,Other,Male,Some Coll,162
AL,30-44,$0-20k,Other,Male,Coll,0
AL,30-44,$0-20k,Other,Male,Post-Grad,7
AL,30-44,$0-20k,Other,Female,< HS,359
AL,30-44,$0-20k,Other,Female,HS,551
AL,30-44,$0-20k,Other,Female,Some Coll,537
AL,30-44,$0-20k,Other,Female,Coll,317
AL,30-44,$0-20k,Other,Female,Post-Grad,38
AL,30-44,$20-40k,White,Male,< HS,14323
AL,30-44,$20-40k,White,Male,HS,22474
AL,30-44,$20-40k,White,Male,Some Coll,15407
AL,30-44,$20-40k,White,Male,Coll,4632
AL,30-44,$20-40k,White,Male,Post-Grad,1715
AL,30-44,$20-40k,White,Female,< HS,12047
AL,30-44,$20-40k,White,Female,HS,20602
AL,30-44,$20-40k,White,Female,Some Coll,20531
AL,30-44,$20-40k,White,Female,Coll,4618
AL,30-44,$20-40k,White,Female,Post-Grad,1781
AL,30-44,$20-40k,Black,Male,< HS,5908
AL,30-44,$20-40k,Black,Male,HS,14712
AL,30-44,$20-40k,Black,Male,Some Coll,6195
AL,30-44,$20-40k,Black,Male,Coll,1700
AL,30-44,$20-40k,Black,Male,Post-Grad,224
AL,30-44,$20-40k,Black,Female,< HS,4909
AL,30-44,$20-40k,Black,Female,HS,13260
AL,30-44,$20-40k,Black,Female,Some Coll,13725
AL,30-44,$20-40k,Black,Female,Coll,3280
AL,30-44,$20-40k,Black,Female,Post-Grad,1164
AL,30-44,$20-40k,Hispanic,Male,< HS,599
AL,30-44,$20-40k,Hispanic,Male,HS,255
AL,30-44,$20-40k,Hispanic,Male,Some Coll,292
AL,30-44,$20-40k,Hispanic,Male,Coll,30
AL,30-44,$20-40k,Hispanic,Male,Post-Grad,39
AL,30-44,$20-40k,Hispanic,Female,< HS,189
AL,30-44,$20-40k,Hispanic,Female,HS,310
AL,30-44,$20-40k,Hispanic,Female,Some Coll,295
AL,30-44,$20-40k,Hispanic,Female,Coll,155
AL,30-44,$20-40k,Hispanic,Female,Post-Grad,86
AL,30-44,$20-40k,Other,Male,< HS,519
AL,30-44,$20-40k,Other,Male,HS,523
AL,30-44,$20-40k,Other,Male,Some Coll,456
AL,30-44,$20-40k,Other,Male,Coll,117
AL,30-44,$20-40k,Other,Male,Post-Grad,114
AL,30-44,$20-40k,Other,Female,< HS,214
AL,30-44,$20-40k,Other,Female,HS,684
AL,30-44,$20-40k,Other,Female,Some Coll,639
AL,30-44,$20-40k,Other,Female,Coll,154
AL,30-44,$20-40k,Other,Female,Post-Grad,29
AL,30-44,$40-75k,White,Male,< HS,14970
AL,30-44,$40-75k,White,Male,HS,37225
AL,30-44,$40-75k,White,Male,Some Coll,37008
AL,30-44,$40-75k,White,Male,Coll,16267
AL,30-44,$40-75k,White,Male,Post-Grad,5299
AL,30-44,$40-75k,White,Female,< HS,10140
AL,30-44,$40-75k,White,Female,HS,33343
AL,30-44,$40-75k,White,Female,Some Coll,37206
AL,30-44,$40-75k,White,Female,Coll,17058
AL,30-44,$40-75k,White,Female,Post-Grad,7131
AL,30-44,$40-75k,Black,Male,< HS,3466
AL,30-44,$40-75k,Black,Male,HS,16816
AL,30-44,$40-75k,Black,Male,Some Coll,11433
AL,30-44,$40-75k,Black,Male,Coll,2850
AL,30-44,$40-75k,Black,Male,Post-Grad,1140
AL,30-44,$40-75k,Black,Female,< HS,2530
AL,30-44,$40-75k,Black,Female,HS,10648
AL,30-44,$40-75k,Black,Female,Some Coll,12782
AL,30-44,$40-75k,Black,Female,Coll,5299
AL,30-44,$40-75k,Black,Female,Post-Grad,2856
AL,30-44,$40-75k,Hispanic,Male,< HS,318
AL,30-44,$40-75k,Hispanic,Male,HS,461
AL,30-44,$40-75k,Hispanic,Male,Some Coll,393
AL,30-44,$40-75k,Hispanic,Male,Coll,191
AL,30-44,$40-75k,Hispanic,Male,Post-Grad,87
AL,30-44,$40-75k,Hispanic,Female,< HS,203
AL,30-44,$40-75k,Hispanic,Female,HS,288
AL,30-44,$40-75k,Hispanic,Female,Some Coll,708
AL,30-44,$40-75k,Hispanic,Female,Coll,155
AL,30-44,$40-75k,Hispanic,Female,Post-Grad,19
AL,30-44,$40-75k,Other,Male,< HS,281
AL,30-44,$40-75k,Other,Male,HS,672
AL,30-44,$40-75k,Other,Male,Some Coll,780
AL,30-44,$40-75k,Other,Male,Coll,451
AL,30-44,$40-75k,Other,Male,Post-Grad,96
AL,30-44,$40-75k,Other,Female,< HS,283
AL,30-44,$40-75k,Other,Female,HS,824
AL,30-44,$40-75k,Other,Female,Some Coll,931
AL,30-44,$40-75k,Other,Female,Coll,498
AL,30-44,$40-75k,Other,Female,Post-Grad,467
AL,30-44,$75-150k,White,Male,< HS,4394
AL,30-44,$75-150k,White,Male,HS,20386
AL,30-44,$75-150k,White,Male,Some Coll,27008
AL,30-44,$75-150k,White,Male,Coll,26476
AL,30-44,$75-150k,White,Male,Post-Grad,11193
AL,30-44,$75-150k,White,Female,< HS,3013
AL,30-44,$75-150k,White,Female,HS,16787
AL,30-44,$75-150k,White,Female,Some Coll,29577
AL,30-44,$75-150k,White,Female,Coll,27230
AL,30-44,$75-150k,White,Female,Post-Grad,14285
AL,30-44,$75-150k,Black,Male,< HS,702
AL,30-44,$75-150k,Black,Male,HS,5470
AL,30-44,$75-150k,Black,Male,Some Coll,4869
AL,30-44,$75-150k,Black,Male,Coll,2857
AL,30-44,$75-150k,Black,Male,Post-Grad,1371
AL,30-44,$75-150k,Black,Female,< HS,1100
AL,30-44,$75-150k,Black,Female,HS,2798
AL,30-44,$75-150k,Black,Female,Some Coll,4919
AL,30-44,$75-150k,Black,Female,Coll,3955
AL,30-44,$75-150k,Black,Female,Post-Grad,2485
AL,30-44,$75-150k,Hispanic,Male,< HS,188
AL,30-44,$75-150k,Hispanic,Male,HS,218
AL,30-44,$75-150k,Hispanic,Male,Some Coll,230
AL,30-44,$75-150k,Hispanic,Male,Coll,296
AL,30-44,$75-150k,Hispanic,Male,Post-Grad,35
AL,30-44,$75-150k,Hispanic,Female,< HS,53
AL,30-44,$75-150k,Hispanic,Female,HS,189
AL,30-44,$75-150k,Hispanic,Female,Some Coll,513
AL,30-44,$75-150k,Hispanic,Female,Coll,210
