stt,age,inc,eth,sex,edu,pop2008
DC,65+,$20-40k,Hispanic,Male,< HS,59
DC,65+,$20-40k,Hispanic,Male,HS,0
DC,65+,$20-40k,Hispanic,Male,Some Coll,0
DC,65+,$20-40k,Hispanic,Male,Coll,0
DC,65+,$20-40k,Hispanic,Male,Post-Grad,0
DC,65+,$20-40k,Hispanic,Female,< HS,147
DC,65+,$20-40k,Hispanic,Female,HS,66
DC,65+,$20-40k,Hispanic,Female,Some Coll,25
DC,65+,$20-40k,Hispanic,Female,Coll,56
DC,65+,$20-40k,Hispanic,Female,Post-Grad,25
DC,65+,$20-40k,Other,Male,< HS,76
DC,65+,$20-40k,Other,Male,HS,87
DC,65+,$20-40k,Other,Male,Some Coll,26
DC,65+,$20-40k,Other,Male,Coll,43
DC,65+,$20-40k,Other,Male,Post-Grad,23
DC,65+,$20-40k,Other,Female,< HS,80
DC,65+,$20-40k,Other,Female,HS,65
DC,65+,$20-40k,Other,Female,Some Coll,148
DC,65+,$20-40k,Other,Female,Coll,30
DC,65+,$20-40k,Other,Female,Post-Grad,83
DC,65+,$40-75k,White,Male,< HS,39
DC,65+,$40-75k,White,Male,HS,122
DC,65+,$40-75k,White,Male,Some Coll,295
DC,65+,$40-75k,White,Male,Coll,319
DC,65+,$40-75k,White,Male,Post-Grad,503
DC,65+,$40-75k,White,Female,< HS,58
DC,65+,$40-75k,White,Female,HS,354
DC,65+,$40-75k,White,Female,Some Coll,443
DC,65+,$40-75k,White,Female,Coll,157
DC,65+,$40-75k,White,Female,Post-Grad,686
DC,65+,$40-75k,Black,Male,< HS,1176
DC,65+,$40-75k,Black,Male,HS,1126
DC,65+,$40-75k,Black,Male,Some Coll,500
DC,65+,$40-75k,Black,Male,Coll,417
DC,65+,$40-75k,Black,Male,Post-Grad,239
DC,65+,$40-75k,Black,Female,< HS,1425
DC,65+,$40-75k,Black,Female,HS,2011
DC,65+,$40-75k,Black,Female,Some Coll,931
DC,65+,$40-75k,Black,Female,Coll,819
DC,65+,$40-75k,Black,Female,Post-Grad,466
DC,65+,$40-75k,Hispanic,Male,< HS,85
DC,65+,$40-75k,Hispanic,Male,HS,0
DC,65+,$40-75k,Hispanic,Male,Some Coll,0
DC,65+,$40-75k,Hispanic,Male,Coll,0
DC,65+,$40-75k,Hispanic,Male,Post-Grad,82
DC,65+,$40-75k,Hispanic,Female,< HS,102
DC,65+,$40-75k,Hispanic,Female,HS,0
DC,65+,$40-75k,Hispanic,Female,Some Coll,31
DC,65+,$40-75k,Hispanic,Female,Coll,28
DC,65+,$40-75k,Hispanic,Female,Post-Grad,49
DC,65+,$40-75k,Other,Male,< HS,26
DC,65+,$40-75k,Other,Male,HS,0
DC,65+,$40-75k,Other,Male,Some Coll,0
DC,65+,$40-75k,Other,Male,Coll,93
DC,65+,$40-75k,Other,Male,Post-Grad,0
DC,65+,$40-75k,Other,Female,< HS,0
DC,65+,$40-75k,Other,Female,HS,69
DC,65+,$40-75k,Other,Female,Some Coll,29
DC,65+,$40-75k,Other,Female,Coll,28
DC,65+,$40-75k,Other,Female,Post-Grad,0
DC,65+,$75-150k,White,Male,< HS,71
DC,65+,$75-150k,White,Male,HS,103
DC,65+,$75-150k,White,Male,Some Coll,120
DC,65+,$75-150k,White,Male,Coll,369
DC,65+,$75-150k,White,Male,Post-Grad,1402
DC,65+,$75-150k,White,Female,< HS,0
DC,65+,$75-150k,White,Female,HS,227
DC,65+,$75-150k,White,Female,Some Coll,527
DC,65+,$75-150k,White,Female,Coll,859
DC,65+,$75-150k,White,Female,Post-Grad,797
DC,65+,$75-150k,Black,Male,< HS,578
DC,65+,$75-150k,Black,Male,HS,636
DC,65+,$75-150k,Black,Male,Some Coll,623
DC,65+,$75-150k,Black,Male,Coll,272
DC,65+,$75-150k,Black,Male,Post-Grad,412
DC,65+,$75-150k,Black,Female,< HS,690
DC,65+,$75-150k,Black,Female,HS,1479
DC,65+,$75-150k,Black,Female,Some Coll,610
DC,65+,$75-150k,Black,Female,Coll,565
DC,65+,$75-150k,Black,Female,Post-Grad,477
DC,65+,$75-150k,Hispanic,Male,< HS,33
DC,65+,$75-150k,Hispanic,Male,HS,0
DC,65+,$75-150k,Hispanic,Male,Some Coll,0
DC,65+,$75-150k,Hispanic,Male,Coll,26
DC,65+,$75-150k,Hispanic,Male,Post-Grad,85
DC,65+,$75-150k,Hispanic,Female,< HS,73
DC,65+,$75-150k,Hispanic,Female,HS,50
DC,65+,$75-150k,Hispanic,Female,Some Coll,93
DC,65+,$75-150k,Hispanic,Female,Coll,0
DC,65+,$75-150k,Hispanic,Female,Post-Grad,0
DC,65+,$75-150k,Other,Male,< HS,0
DC,65+,$75-150k,Other,Male,HS,28
DC,65+,$75-150k,Other,Male,Some Coll,0
DC,65+,$75-150k,Other,Male,Coll,35
DC,65+,$75-150k,Other,Male,Post-Grad,65
DC,65+,$75-150k,Other,Female,< HS,0
DC,65+,$75-150k,Other,Female,HS,16
DC,65+,$75-150k,Other,Female,Some Coll,0
DC,65+,$75-150k,Other,Female,Coll,22
DC,65+,$75-150k,Other,Female,Post-Grad,60
DC,65+,$150k+,White,Male,< HS,0
DC,65+,$150k+,White,Male,HS,0
DC,65+,$150k+,White,Male,Some Coll,53
DC,65+,$150k+,White,Male,Coll,540
DC,65+,$150k+,White,Male,Post-Grad,2704
DC,65+,$150k+,White,Female,< HS,0
DC,65+,$150k+,White,Female,HS,229
DC,65+,$150k+,White,Female,Some Coll,166
DC,65+,$150k+,White,Female,Coll,668
DC,65+,$150k+,White,Female,Post-Grad,1233
DC,65+,$150k+,Black,Male,< HS,182
DC,65+,$150k+,Black,Male,HS,100
DC,65+,$150k+,Black,Male,Some Coll,81
DC,65+,$150k+,Black,Male,Coll,200
DC,65+,$150k+,Black,Male,Post-Grad,306
DC,65+,$150k+,Black,Female,< HS,284
DC,65+,$150k+,Black,Female,HS,544
DC,65+,$150k+,Black,Female,Some Coll,241
DC,65+,$150k+,Black,Female,Coll,335
DC,65+,$150k+,Black,Female,Post-Grad,165
DC,65+,$150k+,Hispanic,Male,< HS,0
DC,65+,$150k+,Hispanic,Male,HS,0
DC,65+,$150k+,Hispanic,Male,Some Coll,0
DC,65+,$150k+,Hispanic,Male,Coll,0
DC,65+,$150k+,Hispanic,Male,Post-Grad,38
DC,65+,$150k+,Hispanic,Female,< HS,29
DC,65+,$150k+,Hispanic,Female,HS,67
DC,65+,$150k+,Hispanic,Female,Some Coll,0
DC,65+,$150k+,Hispanic,Female,Coll,0
DC,65+,$150k+,Hispanic,Female,Post-Grad,0
DC,65+,$150k+,Other,Male,< HS,0
DC,65+,$150k+,Other,Male,HS,0
DC,65+,$150k+,Other,Male,Some Coll,0
DC,65+,$150k+,Other,Male,Coll,25
DC,65+,$150k+,Other,Male,Post-Grad,70
DC,65+,$150k+,Other,Female,< HS,0
DC,65+,$150k+,Other,Female,HS,0
DC,65+,$150k+,Other,Female,Some Coll,18
DC,65+,$150k+,Other,Female,Coll,0
DC,65+,$150k+,Other,Female,Post-Grad,0
FL,18-29,$0-20k,White,Male,< HS,10627
FL,18-29,$0-20k,White,Male,HS,21149
FL,18-29,$0-20k,White,Male,Some Coll,27586
FL,18-29,$0-20k,White,Male,Coll,6669
FL,18-29,$0-20k,White,Male,Post-Grad,854
FL,18-29,$0-20k,White,Female,< HS,14352
FL,18-29,$0-20k,White,Female,HS,23899
FL,18-29,$0-20k,White,Female,Some Coll,33078
FL,18-29,$0-20k,White,Female,Coll,8380
FL,18-29,$0-20k,White,Female,Post-Grad,1184
FL,18-29,$0-20k,Black,Male,< HS,10453
FL,18-29,$0-20k,Black,Male,HS,12974
FL,18-29,$0-20k,Black,Male,Some Coll,10165
FL,18-29,$0-20k,Black,Male,Coll,1053
FL,18-29,$0-20k,Black,Male,Post-Grad,0
FL,18-29,$0-20k,Black,Female,< HS,14615
FL,18-29,$0-20k,Black,Female,HS,27289
FL,18-29,$0-20k,Black,Female,Some Coll,16876
FL,18-29,$0-20k,Black,Female,Coll,1903
FL,18-29,$0-20k,Black,Female,Post-Grad,43
FL,18-29,$0-20k,Hispanic,Male,< HS,5740
FL,18-29,$0-20k,Hispanic,Male,HS,6234
FL,18-29,$0-20k,Hispanic,Male,Some Coll,4981
FL,18-29,$0-20k,Hispanic,Male,Coll,882
FL,18-29,$0-20k,Hispanic,Male,Post-Grad,236
FL,18-29,$0-20k,Hispanic,Female,< HS,6010
FL,18-29,$0-20k,Hispanic,Female,HS,8719
FL,18-29,$0-20k,Hispanic,Female,Some Coll,8348
FL,18-29,$0-20k,Hispanic,Female,Coll,1158
FL,18-29,$0-20k,Hispanic,Female,Post-Grad,428
FL,18-29,$0-20k,Other,Male,< HS,762
FL,18-29,$0-20k,Other,Male,HS,1303
FL,18-29,$0-20k,Other,Male,Some Coll,2554
FL,18-29,$0-20k,Other,Male,Coll,429
FL,18-29,$0-20k,Other,Male,Post-Grad,86
FL,18-29,$0-20k,Other,Female,< HS,953
FL,18-29,$0-20k,Other,Female,HS,1391
FL,18-29,$0-20k,Other,Female,Some Coll,2866
FL,18-29,$0-20k,Other,Female,Coll,534
FL,18-29,$0-20k,Other,Female,Post-Grad,280
FL,18-29,$20-40k,White,Male,< HS,25051
FL,18-29,$20-40k,White,Male,HS,55265
FL,18-29,$20-40k,White,Male,Some Coll,44309
FL,18-29,$20-40k,White,Male,Coll,13826
FL,18-29,$20-40k,White,Male,Post-Grad,1923
FL,18-29,$20-40k,White,Female,< HS,21596
FL,18-29,$20-40k,White,Female,HS,45988
FL,18-29,$20-40k,White,Female,Some Coll,52694
FL,18-29,$20-40k,White,Female,Coll,20444
FL,18-29,$20-40k,White,Female,Post-Grad,2856
FL,18-29,$20-40k,Black,Male,< HS,12890
FL,18-29,$20-40k,Black,Male,HS,24379
FL,18-29,$20-40k,Black,Male,Some Coll,14922
FL,18-29,$20-40k,Black,Male,Coll,3274
FL,18-29,$20-40k,Black,Male,Post-Grad,424
FL,18-29,$20-40k,Black,Female,< HS,8768
FL,18-29,$20-40k,Black,Female,HS,22172
FL,18-29,$20-40k,Black,Female,Some Coll,22958
FL,18-29,$20-40k,Black,Female,Coll,4304
FL,18-29,$20-40k,Black,Female,Post-Grad,1320
FL,18-29,$20-40k,Hispanic,Male,< HS,9917
FL,18-29,$20-40k,Hispanic,Male,HS,19219
FL,18-29,$20-40k,Hispanic,Male,Some Coll,12242
FL,18-29,$20-40k,Hispanic,Male,Coll,2616
FL,18-29,$20-40k,Hispanic,Male,Post-Grad,440
FL,18-29,$20-40k,Hispanic,Female,< HS,6921
FL,18-29,$20-40k,Hispanic,Female,HS,14121
FL,18-29,$20-40k,Hispanic,Female,Some Coll,15347
FL,18-29,$20-40k,Hispanic,Female,Coll,3156
FL,18-29,$20-40k,Hispanic,Female,Post-Grad,886
FL,18-29,$20-40k,Other,Male,< HS,1844
FL,18-29,$20-40k,Other,Male,HS,3255
FL,18-29,$20-40k,Other,Male,Some Coll,3367
FL,18-29,$20-40k,Other,Male,Coll,1117
FL,18-29,$20-40k,Other,Male,Post-Grad,50
FL,18-29,$20-40k,Other,Female,< HS,1255
FL,18-29,$20-40k,Other,Female,HS,2523
FL,18-29,$20-40k,Other,Female,Some Coll,2983
FL,18-29,$20-40k,Other,Female,Coll,814
FL,18-29,$20-40k,Other,Female,Post-Grad,380
FL,18-29,$40-75k,White,Male,< HS,31178
FL,18-29,$40-75k,White,Male,HS,79752
FL,18-29,$40-75k,White,Male,Some Coll,76141
FL,18-29,$40-75k,White,Male,Coll,30472
FL,18-29,$40-75k,White,Male,Post-Grad,4440
FL,18-29,$40-75k,White,Female,< HS,22232
FL,18-29,$40-75k,White,Female,HS,64098
FL,18-29,$40-75k,White,Female,Some Coll,83774
FL,18-29,$40-75k,White,Female,Coll,39909
FL,18-29,$40-75k,White,Female,Post-Grad,6990
FL,18-29,$40-75k,Black,Male,< HS,11925
FL,18-29,$40-75k,Black,Male,HS,26217
FL,18-29,$40-75k,Black,Male,Some Coll,21534
FL,18-29,$40-75k,Black,Male,Coll,5124
FL,18-29,$40-75k,Black,Male,Post-Grad,686
FL,18-29,$40-75k,Black,Female,< HS,7728
FL,18-29,$40-75k,Black,Female,HS,22660
FL,18-29,$40-75k,Black,Female,Some Coll,24703
FL,18-29,$40-75k,Black,Female,Coll,6084
FL,18-29,$40-75k,Black,Female,Post-Grad,1705
FL,18-29,$40-75k,Hispanic,Male,< HS,9959
FL,18-29,$40-75k,Hispanic,Male,HS,25569
FL,18-29,$40-75k,Hispanic,Male,Some Coll,21372
FL,18-29,$40-75k,Hispanic,Male,Coll,5910
FL,18-29,$40-75k,Hispanic,Male,Post-Grad,803
FL,18-29,$40-75k,Hispanic,Female,< HS,8139
FL,18-29,$40-75k,Hispanic,Female,HS,20314
FL,18-29,$40-75k,Hispanic,Female,Some Coll,25790
FL,18-29,$40-75k,Hispanic,Female,Coll,6837
FL,18-29,$40-75k,Hispanic,Female,Post-Grad,1217
FL,18-29,$40-75k,Other,Male,< HS,1614
FL,18-29,$40-75k,Other,Male,HS,4324
FL,18-29,$40-75k,Other,Male,Some Coll,4491
FL,18-29,$40-75k,Other,Male,Coll,1707
FL,18-29,$40-75k,Other,Male,Post-Grad,283
FL,18-29,$40-75k,Other,Female,< HS,1154
FL,18-29,$40-75k,Other,Female,HS,3023
FL,18-29,$40-75k,Other,Female,Some Coll,6186
FL,18-29,$40-75k,Other,Female,Coll,2964
FL,18-29,$40-75k,Other,Female,Post-Grad,490
FL,18-29,$75-150k,White,Male,< HS,21335
FL,18-29,$75-150k,White,Male,HS,62074
FL,18-29,$75-150k,White,Male,Some Coll,62893
FL,18-29,$75-150k,White,Male,Coll,26955
FL,18-29,$75-150k,White,Male,Post-Grad,4861
FL,18-29,$75-150k,White,Female,< HS,13187
FL,18-29,$75-150k,White,Female,HS,42639
FL,18-29,$75-150k,White,Female,Some Coll,61522
FL,18-29,$75-150k,White,Female,Coll,35323
FL,18-29,$75-150k,White,Female,Post-Grad,9030
FL,18-29,$75-150k,Black,Male,< HS,6068
FL,18-29,$75-150k,Black,Male,HS,13887
FL,18-29,$75-150k,Black,Male,Some Coll,10731
FL,18-29,$75-150k,Black,Male,Coll,3427
FL,18-29,$75-150k,Black,Male,Post-Grad,675
FL,18-29,$75-150k,Black,Female,< HS,2587
FL,18-29,$75-150k,Black,Female,HS,9288
FL,18-29,$75-150k,Black,Female,Some Coll,12100
FL,18-29,$75-150k,Black,Female,Coll,5670
FL,18-29,$75-150k,Black,Female,Post-Grad,1584
FL,18-29,$75-150k,Hispanic,Male,< HS,6260
FL,18-29,$75-150k,Hispanic,Male,HS,15864
FL,18-29,$75-150k,Hispanic,Male,Some Coll,15952
FL,18-29,$75-150k,Hispanic,Male,Coll,4992
FL,18-29,$75-150k,Hispanic,Male,Post-Grad,1056
FL,18-29,$75-150k,Hispanic,Female,< HS,3418
FL,18-29,$75-150k,Hispanic,Female,HS,11507
FL,18-29,$75-150k,Hispanic,Female,Some Coll,18535
FL,18-29,$75-150k,Hispanic,Female,Coll,7778
FL,18-29,$75-150k,Hispanic,Female,Post-Grad,2424
FL,18-29,$75-150k,Other,Male,< HS,1183
FL,18-29,$75-150k,Other,Male,HS,2320
FL,18-29,$75-150k,Other,Male,Some Coll,3628
FL,18-29,$75-150k,Other,Male,Coll,1768
FL,18-29,$75-150k,Other,Male,Post-Grad,359
FL,18-29,$75-150k,Other,Female,< HS,541
FL,18-29,$75-150k,Other,Female,HS,1880
FL,18-29,$75-150k,Other,Female,Some Coll,3087
FL,18-29,$75-150k,Other,Female,Coll,2060
FL,18-29,$75-150k,Other,Female,Post-Grad,586
FL,18-29,$150k+,White,Male,< HS,4322
FL,18-29,$150k+,White,Male,HS,12415
FL,18-29,$150k+,White,Male,Some Coll,17268
FL,18-29,$150k+,White,Male,Coll,6483
FL,18-29,$150k+,White,Male,Post-Grad,1657
FL,18-29,$150k+,White,Female,< HS,2664
FL,18-29,$150k+,White,Female,HS,8843
FL,18-29,$150k+,White,Female,Some Coll,15230
FL,18-29,$150k+,White,Female,Coll,7261
FL,18-29,$150k+,White,Female,Post-Grad,1529
FL,18-29,$150k+,Black,Male,< HS,454
FL,18-29,$150k+,Black,Male,HS,887
FL,18-29,$150k+,Black,Male,Some Coll,2226
FL,18-29,$150k+,Black,Male,Coll,636
FL,18-29,$150k+,Black,Male,Post-Grad,57
FL,18-29,$150k+,Black,Female,< HS,369
FL,18-29,$150k+,Black,Female,HS,1041
FL,18-29,$150k+,Black,Female,Some Coll,1043
FL,18-29,$150k+,Black,Female,Coll,854
FL,18-29,$150k+,Black,Female,Post-Grad,198
FL,18-29,$150k+,Hispanic,Male,< HS,994
FL,18-29,$150k+,Hispanic,Male,HS,1799
FL,18-29,$150k+,Hispanic,Male,Some Coll,3711
FL,18-29,$150k+,Hispanic,Male,Coll,1704
FL,18-29,$150k+,Hispanic,Male,Post-Grad,271
FL,18-29,$150k+,Hispanic,Female,< HS,676
FL,18-29,$150k+,Hispanic,Female,HS,1982
FL,18-29,$150k+,Hispanic,Female,Some Coll,4440
FL,18-29,$150k+,Hispanic,Female,Coll,2357
FL,18-29,$150k+,Hispanic,Female,Post-Grad,546
FL,18-29,$150k+,Other,Male,< HS,191
FL,18-29,$150k+,Other,Male,HS,466
FL,18-29,$150k+,Other,Male,Some Coll,1252
FL,18-29,$150k+,Other,Male,Coll,590
FL,18-29,$150k+,Other,Male,Post-Grad,79
FL,18-29,$150k+,Other,Female,< HS,262
FL,18-29,$150k+,Other,Female,HS,349
FL,18-29,$150k+,Other,Female,Some Coll,682
FL,18-29,$150k+,Other,Female,Coll,608
FL,18-29,$150k+,Other,Female,Post-Grad,360
FL,30-44,$0-20k,White,Male,< HS,11818
FL,30-44,$0-20k,White,Male,HS,24539
FL,30-44,$0-20k,White,Male,Some Coll,14741
FL,30-44,$0-20k,White,Male,Coll,5516
FL,30-44,$0-20k,White,Male,Post-Grad,1500
FL,30-44,$0-20k,White,Female,< HS,12225
FL,30-44,$0-20k,White,Female,HS,25325
FL,30-44,$0-20k,White,Female,Some Coll,22475
FL,30-44,$0-20k,White,Female,Coll,6801
FL,30-44,$0-20k,White,Female,Post-Grad,2052
FL,30-44,$0-20k,Black,Male,< HS,6789
FL,30-44,$0-20k,Black,Male,HS,10109
FL,30-44,$0-20k,Black,Male,Some Coll,4425
FL,30-44,$0-20k,Black,Male,Coll,658
FL,30-44,$0-20k,Black,Male,Post-Grad,91
FL,30-44,$0-20k,Black,Female,< HS,12140
FL,30-44,$0-20k,Black,Female,HS,25076
FL,30-44,$0-20k,Black,Female,Some Coll,13636
FL,30-44,$0-20k,Black,Female,Coll,1521
FL,30-44,$0-20k,Black,Female,Post-Grad,458
FL,30-44,$0-20k,Hispanic,Male,< HS,5738
FL,30-44,$0-20k,Hispanic,Male,HS,6071
FL,30-44,$0-20k,Hispanic,Male,Some Coll,3508
FL,30-44,$0-20k,Hispanic,Male,Coll,774
FL,30-44,$0-20k,Hispanic,Male,Post-Grad,566
FL,30-44,$0-20k,Hispanic,Female,< HS,6551
FL,30-44,$0-20k,Hispanic,Female,HS,9976
FL,30-44,$0-20k,Hispanic,Female,Some Coll,7302
FL,30-44,$0-20k,Hispanic,Female,Coll,2580
FL,30-44,$0-20k,Hispanic,Female,Post-Grad,856
FL,30-44,$0-20k,Other,Male,< HS,572
FL,30-44,$0-20k,Other,Male,HS,959
FL,30-44,$0-20k,Other,Male,Some Coll,780
FL,30-44,$0-20k,Other,Male,Coll,805
FL,30-44,$0-20k,Other,Male,Post-Grad,300
FL,30-44,$0-20k,Other,Female,< HS,998
FL,30-44,$0-20k,Other,Female,HS,1025
FL,30-44,$0-20k,Other,Female,Some Coll,1288
FL,30-44,$0-20k,Other,Female,Coll,854
FL,30-44,$0-20k,Other,Female,Post-Grad,241
FL,30-44,$20-40k,White,Male,< HS,23584
FL,30-44,$20-40k,White,Male,HS,64397
FL,30-44,$20-40k,White,Male,Some Coll,47353
FL,30-44,$20-40k,White,Male,Coll,17996
FL,30-44,$20-40k,White,Male,Post-Grad,4946
FL,30-44,$20-40k,White,Female,< HS,18106
FL,30-44,$20-40k,White,Female,HS,54902
FL,30-44,$20-40k,White,Female,Some Coll,57971
FL,30-44,$20-40k,White,Female,Coll,20720
FL,30-44,$20-40k,White,Female,Post-Grad,6649
FL,30-44,$20-40k,Black,Male,< HS,8239
FL,30-44,$20-40k,Black,Male,HS,22200
FL,30-44,$20-40k,Black,Male,Some Coll,11925
FL,30-44,$20-40k,Black,Male,Coll,2788
FL,30-44,$20-40k,Black,Male,Post-Grad,989
FL,30-44,$20-40k,Black,Female,< HS,7673
FL,30-44,$20-40k,Black,Female,HS,28098
FL,30-44,$20-40k,Black,Female,Some Coll,27127
FL,30-44,$20-40k,Black,Female,Coll,6310
FL,30-44,$20-40k,Black,Female,Post-Grad,2557
FL,30-44,$20-40k,Hispanic,Male,< HS,10913
FL,30-44,$20-40k,Hispanic,Male,HS,16879
FL,30-44,$20-40k,Hispanic,Male,Some Coll,13392
FL,30-44,$20-40k,Hispanic,Male,Coll,5210
FL,30-44,$20-40k,Hispanic,Male,Post-Grad,1459
FL,30-44,$20-40k,Hispanic,Female,< HS,9007
FL,30-44,$20-40k,Hispanic,Female,HS,17276
FL,30-44,$20-40k,Hispanic,Female,Some Coll,19257
FL,30-44,$20-40k,Hispanic,Female,Coll,6542
FL,30-44,$20-40k,Hispanic,Female,Post-Grad,1590
FL,30-44,$20-40k,Other,Male,< HS,1450
FL,30-44,$20-40k,Other,Male,HS,3611
FL,30-44,$20-40k,Other,Male,Some Coll,2566
FL,30-44,$20-40k,Other,Male,Coll,1025
FL,30-44,$20-40k,Other,Male,Post-Grad,210
FL,30-44,$20-40k,Other,Female,< HS,1503
FL,30-44,$20-40k,Other,Female,HS,2831
FL,30-44,$20-40k,Other,Female,Some Coll,3295
FL,30-44,$20-40k,Other,Female,Coll,1684
FL,30-44,$20-40k,Other,Female,Post-Grad,324
FL,30-44,$40-75k,White,Male,< HS,32194
FL,30-44,$40-75k,White,Male,HS,121101
FL,30-44,$40-75k,White,Male,Some Coll,116485
FL,30-44,$40-75k,White,Male,Coll,52483
FL,30-44,$40-75k,White,Male,Post-Grad,17976
FL,30-44,$40-75k,White,Female,< HS,22619
FL,30-44,$40-75k,White,Female,HS,98065
FL,30-44,$40-75k,White,Female,Some Coll,119325
FL,30-44,$40-75k,White,Female,Coll,58445
FL,30-44,$40-75k,White,Female,Post-Grad,20496
FL,30-44,$40-75k,Black,Male,< HS,8451
FL,30-44,$40-75k,Black,Male,HS,30449
FL,30-44,$40-75k,Black,Male,Some Coll,23242
FL,30-44,$40-75k,Black,Male,Coll,7836
FL,30-44,$40-75k,Black,Male,Post-Grad,2764
FL,30-44,$40-75k,Black,Female,< HS,4919
FL,30-44,$40-75k,Black,Female,HS,22930
FL,30-44,$40-75k,Black,Female,Some Coll,27716
FL,30-44,$40-75k,Black,Female,Coll,12434
FL,30-44,$40-75k,Black,Female,Post-Grad,5726
FL,30-44,$40-75k,Hispanic,Male,< HS,12133
FL,30-44,$40-75k,Hispanic,Male,HS,29971
FL,30-44,$40-75k,Hispanic,Male,Some Coll,29760
FL,30-44,$40-75k,Hispanic,Male,Coll,12769
FL,30-44,$40-75k,Hispanic,Male,Post-Grad,4455
FL,30-44,$40-75k,Hispanic,Female,< HS,7117
FL,30-44,$40-75k,Hispanic,Female,HS,25197
FL,30-44,$40-75k,Hispanic,Female,Some Coll,33097
FL,30-44,$40-75k,Hispanic,Female,Coll,13401
FL,30-44,$40-75k,Hispanic,Female,Post-Grad,4916
FL,30-44,$40-75k,Other,Male,< HS,1609
FL,30-44,$40-75k,Other,Male,HS,4453
FL,30-44,$40-75k,Other,Male,Some Coll,5033
FL,30-44,$40-75k,Other,Male,Coll,4931
FL,30-44,$40-75k,Other,Male,Post-Grad,965
FL,30-44,$40-75k,Other,Female,< HS,1839
FL,30-44,$40-75k,Other,Female,HS,4240
FL,30-44,$40-75k,Other,Female,Some Coll,6046
FL,30-44,$40-75k,Other,Female,Coll,4694
FL,30-44,$40-75k,Other,Female,Post-Grad,1417
FL,30-44,$75-150k,White,Male,< HS,16086
FL,30-44,$75-150k,White,Male,HS,76511
FL,30-44,$75-150k,White,Male,Some Coll,102708
FL,30-44,$75-150k,White,Male,Coll,87264
FL,30-44,$75-150k,White,Male,Post-Grad,35782
FL,30-44,$75-150k,White,Female,< HS,8770
FL,30-44,$75-150k,White,Female,HS,63460
FL,30-44,$75-150k,White,Female,Some Coll,112523
FL,30-44,$75-150k,White,Female,Coll,90647
FL,30-44,$75-150k,White,Female,Post-Grad,37392
FL,30-44,$75-150k,Black,Male,< HS,1923
FL,30-44,$75-150k,Black,Male,HS,12188
FL,30-44,$75-150k,Black,Male,Some Coll,15918
FL,30-44,$75-150k,Black,Male,Coll,10128
FL,30-44,$75-150k,Black,Male,Post-Grad,3337
FL,30-44,$75-150k,Black,Female,< HS,1676
FL,30-44,$75-150k,Black,Female,HS,8261
FL,30-44,$75-150k,Black,Female,Some Coll,13218
FL,30-44,$75-150k,Black,Female,Coll,11207
FL,30-44,$75-150k,Black,Female,Post-Grad,5793
FL,30-44,$75-150k,Hispanic,Male,< HS,5067
FL,30-44,$75-150k,Hispanic,Male,HS,15039
FL,30-44,$75-150k,Hispanic,Male,Some Coll,25289
FL,30-44,$75-150k,Hispanic,Male,Coll,15020
FL,30-44,$75-150k,Hispanic,Male,Post-Grad,8968
FL,30-44,$75-150k,Hispanic,Female,< HS,2870
FL,30-44,$75-150k,Hispanic,Female,HS,12685
FL,30-44,$75-150k,Hispanic,Female,Some Coll,25864
FL,30-44,$75-150k,Hispanic,Female,Coll,20107
FL,30-44,$75-150k,Hispanic,Female,Post-Grad,9164
FL,30-44,$75-150k,Other,Male,< HS,596
FL,30-44,$75-150k,Other,Male,HS,2032
FL,30-44,$75-150k,Other,Male,Some Coll,3991
FL,30-44,$75-150k,Other,Male,Coll,4865
FL,30-44,$75-150k,Other,Male,Post-Grad,2365
FL,30-44,$75-150k,Other,Female,< HS,514
FL,30-44,$75-150k,Other,Female,HS,2739
FL,30-44,$75-150k,Other,Female,Some Coll,4715
FL,30-44,$75-150k,Other,Female,Coll,5815
FL,30-44,$75-150k,Other,Female,Post-Grad,2763
FL,30-44,$150k+,White,Male,< HS,2475
FL,30-44,$150k+,White,Male,HS,9738
FL,30-44,$150k+,White,Male,Some Coll,17614
FL,30-44,$150k+,White,Male,Coll,31588
FL,30-44,$150k+,White,Male,Post-Grad,22160
FL,30-44,$150k+,White,Female,< HS,1296
FL,30-44,$150k+,White,Female,HS,11142
FL,30-44,$150k+,White,Female,Some Coll,20810
FL,30-44,$150k+,White,Female,Coll,33940
FL,30-44,$150k+,White,Female,Post-Grad,20448
FL,30-44,$150k+,Black,Male,< HS,206
FL,30-44,$150k+,Black,Male,HS,975
FL,30-44,$150k+,Black,Male,Some Coll,1135
FL,30-44,$150k+,Black,Male,Coll,1604
FL,30-44,$150k+,Black,Male,Post-Grad,1272
FL,30-44,$150k+,Black,Female,< HS,171
FL,30-44,$150k+,Black,Female,HS,616
FL,30-44,$150k+,Black,Female,Some Coll,1256
FL,30-44,$150k+,Black,Female,Coll,2019
FL,30-44,$150k+,Black,Female,Post-Grad,925
FL,30-44,$150k+,Hispanic,Male,< HS,417
FL,30-44,$150k+,Hispanic,Male,HS,2338
FL,30-44,$150k+,Hispanic,Male,Some Coll,4216
FL,30-44,$150k+,Hispanic,Male,Coll,5192
FL,30-44,$150k+,Hispanic,Male,Post-Grad,4514
FL,30-44,$150k+,Hispanic,Female,< HS,735
FL,30-44,$150k+,Hispanic,Female,HS,2073
